09:22:34.866 23.1C | 3.00 V
13:06:51.008 22.8C | 2.83 V
13:06:52.008 22.8C | 2.81 V
13:06:54.008 22.8C | 2.81 V
13:06:55.009 22.8C | 2.82 V
13:06:56.007 22.8C | 2.81 V
13:06:57.007 22.8C | 2.81 V
13:06:59.008 22.8C | 2.83 V
13:07:00.007 22.8C | 2.81 V
13:07:01.007 22.8C | 2.81 V
13:07:02.007 22.8C | 2.82 V
13:07:04.008 22.8C | 2.81 V
13:07:05.007 22.8C | 2.81 V
13:07:06.007 22.8C | 2.82 V
13:07:07.007 22.8C | 2.82 V
13:07:08.007 22.8C | 2.81 V
13:07:10.007 22.8C | 2.83 V
13:07:11.007 22.8C | 2.82 V
13:07:12.007 22.8C | 2.81 V
13:07:13.007 22.8C | 2.83 V
13:07:15.008 22.8C | 2.81 V
13:07:16.007 22.8C | 2.81 V
13:07:17.007 22.8C | 2.83 V
13:07:18.009 22.8C | 2.82 V
13:07:19.007 22.8C | 2.81 V
13:07:21.008 22.8C | 2.83 V
13:07:22.008 22.8C | 2.81 V
13:07:23.008 22.8C | 2.81 V
13:07:24.007 22.8C | 2.82 V
13:07:26.008 22.8C | 2.81 V
13:07:27.008 22.8C | 2.80 V
13:07:28.007 22.8C | 2.83 V
13:07:29.008 22.8C | 2.81 V
13:07:30.007 22.8C | 2.81 V
13:07:32.007 22.8C | 2.82 V
13:07:33.008 22.8C | 2.81 V
13:07:34.007 22.8C | 2.81 V
13:07:35.008 22.8C | 2.82 V
13:07:37.008 22.8C | 2.81 V
13:07:38.007 22.8C | 2.81 V
13:07:39.007 22.8C | 2.82 V
13:07:40.007 22.8C | 2.81 V
13:07:41.200 22.8C | 2.81 V
13:07:43.007 22.8C | 2.82 V
13:07:44.009 22.8C | 2.82 V
13:07:45.008 22.8C | 2.80 V
13:07:46.007 22.8C | 2.82 V
13:07:48.008 22.8C | 2.82 V
13:07:48.758 22.8C | 2.81 V
13:07:50.008 22.8C | 2.82 V
13:07:51.007 22.8C | 2.81 V
13:07:53.011 22.8C | 2.81 V
13:07:54.008 22.8C | 2.82 V
13:07:55.008 22.8C | 2.81 V
13:07:56.008 22.8C | 2.81 V
13:07:57.007 22.8C | 2.82 V
13:07:59.007 22.8C | 2.81 V
13:08:00.007 22.8C | 2.80 V
13:08:01.007 22.8C | 2.82 V
13:08:02.008 22.8C | 2.82 V
13:08:04.008 22.8C | 2.81 V
13:08:05.007 22.8C | 2.83 V
13:08:06.213 22.8C | 2.81 V
13:08:07.515 22.8C | 2.81 V
13:08:08.747 22.8C | 2.81 V
13:08:09.881 22.8C | 2.81 V
13:08:11.095 22.8C | 2.81 V
13:08:12.320 22.8C | 2.82 V
13:08:13.545 22.8C | 2.81 V
13:08:14.771 22.8C | 2.81 V
13:08:15.996 22.8C | 2.82 V
13:08:17.220 22.8C | 2.81 V
13:08:18.450 22.8C | 2.81 V
13:08:19.671 22.8C | 2.82 V
13:08:20.896 22.8C | 2.82 V
13:08:22.121 22.8C | 2.81 V
13:08:23.345 22.8C | 2.83 V
13:08:24.571 22.8C | 2.82 V
13:08:25.798 22.8C | 2.81 V
13:08:27.082 22.8C | 2.82 V
13:08:28.246 22.8C | 2.81 V
13:08:29.486 22.8C | 2.81 V
13:08:30.701 22.8C | 2.82 V
13:08:31.934 22.8C | 2.82 V
13:08:33.156 22.8C | 2.80 V
13:08:34.372 22.8C | 2.82 V
13:08:35.597 22.8C | 2.81 V
13:08:36.822 22.8C | 2.81 V
13:08:38.047 22.8C | 2.82 V
13:08:39.287 22.8C | 2.82 V
13:08:40.497 22.8C | 2.80 V
13:08:41.723 22.8C | 2.82 V
13:08:42.947 22.8C | 2.82 V
13:08:44.172 22.8C | 2.81 V
13:08:45.413 22.8C | 2.82 V
13:08:46.639 22.8C | 2.81 V
13:08:47.852 22.8C | 2.81 V
13:08:49.098 22.8C | 2.82 V
13:08:50.296 22.8C | 2.81 V
13:08:51.526 22.8C | 2.81 V
13:08:52.748 22.8C | 2.82 V
13:08:53.988 22.8C | 2.81 V
13:08:55.198 22.8C | 2.81 V
13:08:56.470 22.8C | 2.82 V
13:08:57.650 22.9C | 2.82 V
13:08:58.873 22.8C | 2.81 V
13:09:00.098 22.8C | 2.83 V
13:09:01.322 22.8C | 2.82 V
13:09:02.548 22.8C | 2.81 V
13:09:03.778 22.8C | 2.82 V
13:09:05.002 22.8C | 2.82 V
13:09:06.231 22.9C | 2.80 V
13:09:07.449 22.8C | 2.82 V
13:09:08.673 22.8C | 2.82 V
13:09:09.899 22.9C | 2.81 V
13:09:11.146 22.8C | 2.81 V
13:09:12.387 22.8C | 2.82 V
13:09:13.581 22.8C | 2.81 V
13:09:14.800 22.8C | 2.82 V
13:09:16.025 22.8C | 2.83 V
13:09:17.256 22.8C | 2.81 V
13:09:18.475 22.8C | 2.82 V
13:09:19.700 22.8C | 2.83 V
13:09:20.925 22.8C | 2.81 V
13:09:22.150 22.8C | 2.82 V
13:09:23.374 22.8C | 2.82 V
13:09:24.602 22.9C | 2.80 V
13:09:25.887 22.9C | 2.82 V
13:09:27.051 22.9C | 2.82 V
13:09:28.274 22.9C | 2.80 V
13:09:29.503 22.8C | 2.82 V
13:09:30.727 22.9C | 2.83 V
13:09:31.951 22.8C | 2.81 V
13:09:33.176 22.9C | 2.83 V
13:09:34.401 22.8C | 2.83 V
13:09:35.640 22.8C | 2.81 V
13:09:36.851 22.8C | 2.83 V
13:09:38.078 22.9C | 2.84 V
13:09:39.309 22.8C | 2.81 V
13:09:40.526 22.9C | 2.83 V
13:09:41.751 22.9C | 2.83 V
13:09:42.976 22.9C | 2.81 V
13:09:44.201 22.9C | 2.82 V
13:09:45.426 22.8C | 2.82 V
13:09:46.652 22.8C | 2.81 V
13:09:47.877 22.9C | 2.82 V
13:09:49.102 22.8C | 2.83 V
13:09:50.327 22.8C | 2.81 V
13:09:51.551 22.8C | 2.81 V
13:09:52.777 22.8C | 2.82 V
13:09:54.002 22.8C | 2.80 V
13:09:55.229 22.8C | 2.82 V
13:09:56.452 22.9C | 2.83 V
13:09:57.685 22.8C | 2.81 V
13:09:58.917 22.9C | 2.82 V
13:10:00.135 22.9C | 2.83 V
13:10:01.352 22.9C | 2.81 V
13:10:02.577 22.9C | 2.81 V
13:10:03.802 22.8C | 2.82 V
13:10:05.049 22.9C | 2.81 V
13:10:06.254 22.9C | 2.81 V
13:10:07.478 22.9C | 2.83 V
13:10:08.712 22.8C | 2.81 V
13:10:09.950 22.8C | 2.81 V
13:10:11.157 22.8C | 2.83 V
13:10:12.378 22.8C | 2.80 V
13:10:13.611 22.8C | 2.81 V
13:10:14.861 22.8C | 2.83 V
13:10:16.055 22.9C | 2.81 V
13:10:17.278 22.8C | 2.81 V
13:10:18.504 22.8C | 2.82 V
13:10:19.728 22.8C | 2.81 V
13:10:20.953 22.9C | 2.81 V
13:10:22.178 22.8C | 2.83 V
13:10:23.404 22.8C | 2.80 V
13:10:24.631 22.8C | 2.81 V
13:10:25.855 22.8C | 2.83 V
13:10:27.080 22.8C | 2.81 V
13:10:28.320 22.8C | 2.81 V
13:10:29.537 22.9C | 2.83 V
13:10:30.755 22.9C | 2.81 V
13:10:31.980 22.9C | 2.81 V
13:10:33.207 22.9C | 2.83 V
13:10:34.430 22.8C | 2.81 V
13:10:35.654 22.9C | 2.81 V
13:10:36.880 22.8C | 2.83 V
13:10:38.105 22.9C | 2.81 V
13:10:39.329 22.9C | 2.81 V
13:10:40.554 22.9C | 2.83 V
13:10:41.780 22.9C | 2.81 V
13:10:43.018 22.9C | 2.81 V
13:10:44.250 22.9C | 2.81 V
13:10:45.472 22.9C | 2.80 V
13:10:46.696 22.9C | 2.81 V
13:10:47.907 22.8C | 2.82 V
13:10:49.151 22.9C | 2.81 V
13:10:50.373 22.9C | 2.81 V
13:10:51.581 22.9C | 2.82 V
13:10:52.807 22.9C | 2.81 V
13:10:54.031 22.9C | 2.81 V
13:10:55.256 22.9C | 2.82 V
13:10:56.493 22.9C | 2.81 V
13:10:57.706 22.9C | 2.81 V
13:10:58.931 22.8C | 2.82 V
13:11:00.161 22.9C | 2.81 V
13:11:01.382 22.9C | 2.80 V
13:11:02.607 22.9C | 2.82 V
13:11:03.833 22.8C | 2.81 V
13:11:05.073 22.9C | 2.80 V
13:11:06.282 22.9C | 2.81 V
13:11:07.507 22.9C | 2.81 V
13:11:08.732 22.9C | 2.81 V
13:11:09.958 22.9C | 2.83 V
13:11:11.182 22.8C | 2.81 V
13:11:12.406 22.9C | 2.81 V
13:11:13.632 22.9C | 2.82 V
13:11:14.860 22.9C | 2.80 V
13:11:16.082 22.9C | 2.80 V
13:11:17.312 22.9C | 2.82 V
13:11:18.546 22.9C | 2.80 V
13:11:19.763 22.8C | 2.80 V
13:11:20.983 22.9C | 2.82 V
13:11:22.209 22.8C | 2.81 V
13:11:23.433 22.9C | 2.81 V
13:11:24.659 22.9C | 2.82 V
13:11:25.883 22.9C | 2.81 V
13:11:27.108 22.9C | 2.81 V
13:11:28.334 22.9C | 2.83 V
13:11:29.559 22.9C | 2.80 V
13:11:30.784 22.9C | 2.81 V
13:11:32.011 22.8C | 2.82 V
13:11:33.234 22.9C | 2.80 V
13:11:34.468 22.9C | 2.80 V
13:11:35.683 22.9C | 2.82 V
13:11:36.909 22.9C | 2.80 V
13:11:38.137 22.9C | 2.80 V
13:11:39.360 22.9C | 2.82 V
13:11:40.589 22.9C | 2.80 V
13:11:41.811 22.9C | 2.80 V
13:11:43.035 22.9C | 2.82 V
13:11:44.261 22.9C | 2.81 V
13:11:45.485 22.9C | 2.80 V
13:11:46.710 22.9C | 2.83 V
13:11:47.935 22.9C | 2.80 V
13:11:49.160 22.9C | 2.81 V
13:11:50.386 22.9C | 2.82 V
13:11:51.610 22.9C | 2.81 V
13:11:52.837 22.9C | 2.80 V
13:11:54.079 22.9C | 2.82 V
13:11:55.284 22.9C | 2.80 V
13:11:56.511 22.9C | 2.80 V
13:11:57.736 22.9C | 2.81 V
13:11:58.961 22.9C | 2.81 V
13:12:00.185 22.9C | 2.80 V
13:12:01.411 22.9C | 2.82 V
13:12:02.636 22.9C | 2.82 V
13:12:03.861 22.9C | 2.80 V
13:12:05.086 22.9C | 2.83 V
13:12:06.311 22.8C | 2.80 V
13:12:07.546 22.9C | 2.80 V
13:12:08.777 22.9C | 2.82 V
13:12:09.990 22.9C | 2.81 V
13:12:11.212 22.8C | 2.80 V
13:12:12.436 22.9C | 2.82 V
13:12:13.665 22.9C | 2.80 V
13:12:14.887 22.9C | 2.80 V
13:12:16.122 22.9C | 2.82 V
13:12:17.337 22.9C | 2.81 V
13:12:18.562 22.9C | 2.80 V
13:12:19.788 22.9C | 2.81 V
13:12:21.012 22.9C | 2.81 V
13:12:22.238 22.8C | 2.80 V
13:12:23.462 22.8C | 2.82 V
13:12:24.695 22.9C | 2.81 V
13:12:25.927 22.9C | 2.81 V
13:12:27.153 22.9C | 2.82 V
13:12:28.362 22.8C | 2.82 V
13:12:29.587 22.9C | 2.80 V
13:12:30.812 22.9C | 2.82 V
13:12:32.058 22.9C | 2.81 V
13:12:33.262 22.9C | 2.80 V
13:12:34.489 22.9C | 2.82 V
13:12:35.730 22.9C | 2.81 V
13:12:36.939 22.9C | 2.80 V
13:12:38.166 22.8C | 2.82 V
13:12:39.392 22.9C | 2.82 V
13:12:40.616 22.9C | 2.80 V
13:12:41.844 22.9C | 2.82 V
13:12:43.063 22.9C | 2.81 V
13:12:44.300 22.9C | 2.80 V
13:12:45.514 22.9C | 2.82 V
13:12:46.738 22.8C | 2.81 V
13:12:47.964 22.9C | 2.80 V
13:12:49.189 22.8C | 2.82 V
13:12:50.414 22.8C | 2.80 V
13:12:51.642 22.9C | 2.80 V
13:12:52.865 22.8C | 2.81 V
13:12:54.091 22.8C | 2.81 V
13:12:55.315 22.9C | 2.80 V
13:12:56.539 22.8C | 2.82 V
13:12:57.765 22.9C | 2.81 V
13:12:58.991 22.9C | 2.80 V
13:13:00.219 22.8C | 2.83 V
13:13:01.448 22.9C | 2.81 V
13:13:02.677 22.9C | 2.80 V
13:13:03.910 22.8C | 2.81 V
13:13:05.115 22.8C | 2.81 V
13:13:06.340 22.8C | 2.80 V
13:13:07.565 22.9C | 2.82 V
13:13:08.790 22.9C | 2.81 V
13:13:10.015 22.9C | 2.80 V
13:13:11.241 22.9C | 2.82 V
13:13:12.466 22.8C | 2.82 V
13:13:13.690 22.9C | 2.80 V
13:13:14.916 22.8C | 2.81 V
13:13:16.162 22.9C | 2.82 V
13:13:17.366 22.8C | 2.80 V
13:13:18.610 22.9C | 2.82 V
13:13:19.822 22.8C | 2.82 V
13:13:21.041 22.9C | 2.80 V
13:13:22.266 22.9C | 2.81 V
13:13:23.501 22.9C | 2.81 V
13:13:24.716 22.8C | 2.80 V
13:13:25.941 22.9C | 2.81 V
13:13:27.168 22.9C | 2.83 V
13:13:28.391 22.9C | 2.81 V
13:13:29.618 22.9C | 2.82 V
13:13:30.842 22.8C | 2.82 V
13:13:32.067 22.9C | 2.80 V
13:13:33.295 22.9C | 2.81 V
13:13:34.540 22.8C | 2.82 V
13:13:35.744 22.9C | 2.80 V
13:13:36.967 22.9C | 2.82 V
13:13:38.192 22.8C | 2.83 V
13:13:39.417 22.8C | 2.80 V
13:13:40.644 22.9C | 2.82 V
13:13:41.867 22.8C | 2.82 V
13:13:43.092 22.8C | 2.80 V
13:13:44.325 22.9C | 2.81 V
13:13:45.542 22.9C | 2.82 V
13:13:46.769 22.8C | 2.80 V
13:13:47.994 22.9C | 2.82 V
13:13:49.218 22.8C | 2.82 V
13:13:50.444 22.9C | 2.80 V
13:13:51.678 22.8C | 2.82 V
13:13:52.898 22.8C | 2.83 V
13:13:54.122 22.9C | 2.80 V
13:13:55.359 22.8C | 2.82 V
13:13:56.586 22.9C | 2.83 V
13:13:57.805 22.9C | 2.81 V
13:13:59.018 22.9C | 2.81 V
13:14:00.242 22.9C | 2.82 V
13:14:01.470 22.8C | 2.81 V
13:14:02.700 22.9C | 2.81 V
13:14:03.920 22.8C | 2.82 V
13:14:05.144 22.9C | 2.80 V
13:14:06.370 22.8C | 2.81 V
13:14:07.600 22.9C | 2.82 V
13:14:08.820 22.8C | 2.80 V
13:14:10.045 22.9C | 2.80 V
13:14:11.270 22.9C | 2.82 V
13:14:12.495 22.9C | 2.80 V
13:14:13.720 22.9C | 2.81 V
13:14:14.947 22.8C | 2.83 V
13:14:16.170 22.9C | 2.80 V
13:14:17.395 22.9C | 2.81 V
13:14:18.620 22.9C | 2.82 V
13:14:19.845 22.9C | 2.80 V
13:14:21.071 22.9C | 2.81 V
13:14:22.295 22.9C | 2.82 V
13:14:23.520 22.9C | 2.81 V
13:14:24.745 22.9C | 2.81 V
13:14:25.973 22.9C | 2.82 V
13:14:27.205 22.9C | 2.80 V
13:14:28.421 22.9C | 2.81 V
13:14:29.648 22.9C | 2.82 V
13:14:30.886 22.9C | 2.81 V
13:14:32.096 22.9C | 2.81 V
13:14:33.320 22.9C | 2.83 V
13:14:34.546 22.9C | 2.81 V
13:14:35.771 22.9C | 2.81 V
13:14:36.999 22.9C | 2.82 V
13:14:38.221 22.9C | 2.80 V
13:14:39.449 22.9C | 2.80 V
13:14:40.676 22.9C | 2.82 V
13:14:41.905 22.9C | 2.80 V
13:14:43.122 22.9C | 2.80 V
13:14:44.347 22.9C | 2.82 V
13:14:45.572 22.9C | 2.80 V
13:14:46.798 22.9C | 2.80 V
13:14:48.024 22.9C | 2.82 V
13:14:49.246 22.9C | 2.81 V
13:14:50.473 22.8C | 2.81 V
13:14:51.697 22.9C | 2.83 V
13:14:52.921 22.9C | 2.81 V
13:14:54.147 22.9C | 2.81 V
13:14:55.372 22.9C | 2.82 V
13:14:56.597 22.9C | 2.81 V
13:14:57.823 22.9C | 2.80 V
13:14:59.047 22.9C | 2.82 V
13:15:00.297 22.8C | 2.81 V
13:15:01.499 22.9C | 2.81 V
13:15:02.725 22.9C | 2.82 V
13:15:03.947 22.9C | 2.81 V
13:15:05.180 22.9C | 2.81 V
13:15:06.399 22.9C | 2.82 V
13:15:07.624 22.9C | 2.80 V
13:15:08.849 22.9C | 2.80 V
13:15:10.077 22.9C | 2.83 V
13:15:11.304 22.9C | 2.81 V
13:15:12.526 22.9C | 2.80 V
13:15:13.750 22.9C | 2.82 V
13:15:14.980 22.9C | 2.81 V
13:15:16.200 22.9C | 2.80 V
13:15:17.424 22.9C | 2.82 V
13:15:18.651 22.9C | 2.80 V
13:15:19.886 22.9C | 2.80 V
13:15:21.100 22.9C | 2.82 V
13:15:22.325 22.9C | 2.80 V
13:15:23.550 22.9C | 2.80 V
13:15:24.775 22.9C | 2.82 V
13:15:26.000 22.9C | 2.81 V
13:15:27.266 22.9C | 2.81 V
13:15:28.459 22.9C | 2.81 V
13:15:29.682 22.9C | 2.81 V
13:15:30.900 22.9C | 2.81 V
13:15:32.126 22.9C | 2.82 V
13:15:33.350 22.9C | 2.81 V
13:15:34.576 22.9C | 2.80 V
13:15:35.800 22.9C | 2.82 V
13:15:37.025 22.9C | 2.81 V
13:15:38.251 22.9C | 2.80 V
13:15:39.476 22.9C | 2.82 V
13:15:40.713 22.9C | 2.81 V
13:15:41.927 22.9C | 2.81 V
13:15:43.154 22.9C | 2.82 V
13:15:44.387 22.9C | 2.81 V
13:15:45.605 22.9C | 2.80 V
13:15:46.831 22.9C | 2.83 V
13:15:48.068 22.9C | 2.81 V
13:15:49.285 22.9C | 2.80 V
13:15:50.501 22.9C | 2.82 V
13:15:51.726 22.9C | 2.81 V
13:15:52.952 22.9C | 2.80 V
13:15:54.189 22.9C | 2.82 V
13:15:55.401 22.9C | 2.80 V
13:15:56.627 22.9C | 2.80 V
13:15:57.852 22.9C | 2.82 V
13:15:59.078 22.9C | 2.80 V
13:16:00.301 22.9C | 2.80 V
13:16:01.527 22.9C | 2.81 V
13:16:02.755 22.9C | 2.81 V
13:16:03.977 22.9C | 2.80 V
13:16:05.202 22.9C | 2.83 V
13:16:06.427 22.9C | 2.81 V
13:16:07.653 22.9C | 2.80 V
13:16:08.877 22.9C | 2.82 V
13:16:10.105 22.9C | 2.80 V
13:16:11.337 22.9C | 2.80 V
13:16:12.552 22.9C | 2.82 V
13:16:13.777 22.9C | 2.80 V
13:16:15.004 22.9C | 2.80 V
13:16:16.228 22.9C | 2.81 V
13:16:17.454 22.9C | 2.81 V
13:16:18.679 22.9C | 2.80 V
13:16:19.904 22.9C | 2.82 V
13:16:21.140 22.9C | 2.81 V
13:16:22.364 22.9C | 2.80 V
13:16:23.580 22.9C | 2.83 V
13:16:24.808 22.9C | 2.81 V
13:16:26.029 22.9C | 2.80 V
13:16:27.253 22.9C | 2.81 V
13:16:28.479 22.9C | 2.81 V
13:16:29.702 22.9C | 2.80 V
13:16:30.930 22.9C | 2.81 V
13:16:32.164 22.9C | 2.81 V
13:16:33.380 22.9C | 2.80 V
13:16:34.605 22.9C | 2.81 V
13:16:35.830 22.9C | 2.81 V
13:16:37.055 22.9C | 2.80 V
13:16:38.290 22.9C | 2.82 V
13:16:39.566 22.9C | 2.81 V
13:16:40.730 22.9C | 2.80 V
13:16:41.958 22.9C | 2.81 V
13:16:43.180 22.9C | 2.81 V
13:16:44.404 22.9C | 2.80 V
13:16:45.647 22.9C | 2.82 V
13:16:46.855 22.9C | 2.81 V
13:16:48.080 22.9C | 2.80 V
13:16:49.326 22.9C | 2.81 V
13:16:50.530 22.9C | 2.80 V
13:16:51.757 22.9C | 2.80 V
13:16:52.991 22.9C | 2.81 V
13:16:54.220 22.9C | 2.80 V
13:16:55.436 22.9C | 2.80 V
13:16:56.656 22.9C | 2.81 V
13:16:57.880 22.9C | 2.82 V
13:16:59.105 22.9C | 2.80 V
13:17:00.331 22.9C | 2.82 V
13:17:01.556 22.9C | 2.81 V
13:17:02.782 22.9C | 2.80 V
13:17:04.006 22.9C | 2.81 V
13:17:05.232 22.9C | 2.82 V
13:17:06.456 22.9C | 2.80 V
13:17:07.681 22.9C | 2.82 V
13:17:08.906 22.9C | 2.81 V
13:17:10.133 22.9C | 2.80 V
13:17:11.358 22.9C | 2.82 V
13:17:12.586 22.9C | 2.81 V
13:17:13.814 22.9C | 2.80 V
13:17:15.035 22.9C | 2.81 V
13:17:16.257 22.9C | 2.81 V
13:17:17.483 22.9C | 2.80 V
13:17:18.707 22.9C | 2.82 V
13:17:19.933 22.9C | 2.81 V
13:17:21.163 22.9C | 2.80 V
13:17:22.382 22.9C | 2.81 V
13:17:23.677 22.9C | 2.81 V
13:17:24.832 22.9C | 2.80 V
13:17:26.058 22.9C | 2.81 V
13:17:27.287 22.9C | 2.82 V
13:17:28.512 22.9C | 2.80 V
13:17:29.741 22.9C | 2.81 V
13:17:30.959 22.9C | 2.82 V
13:17:32.184 22.9C | 2.80 V
13:17:33.410 22.9C | 2.81 V
13:17:34.642 22.9C | 2.81 V
13:17:35.858 22.9C | 2.80 V
13:17:37.084 22.9C | 2.82 V
13:17:38.308 22.9C | 2.82 V
13:17:39.534 22.9C | 2.80 V
13:17:40.759 22.9C | 2.81 V
13:17:41.994 22.9C | 2.82 V
13:17:43.211 22.9C | 2.80 V
13:17:44.433 22.9C | 2.81 V
13:17:45.659 22.9C | 2.82 V
13:17:46.900 22.9C | 2.80 V
13:17:48.125 22.9C | 2.82 V
13:17:49.374 22.9C | 2.82 V
13:17:50.565 22.9C | 2.80 V
13:17:51.790 22.9C | 2.81 V
13:17:53.010 22.9C | 2.82 V
13:17:54.235 22.9C | 2.80 V
13:17:55.461 22.9C | 2.81 V
13:17:56.685 22.9C | 2.82 V
13:17:57.909 22.9C | 2.81 V
13:17:59.135 22.9C | 2.81 V
13:18:00.359 22.9C | 2.82 V
13:18:01.587 22.9C | 2.80 V
13:18:02.816 22.9C | 2.82 V
13:18:04.035 22.9C | 2.83 V
13:18:05.280 22.9C | 2.80 V
13:18:06.491 22.9C | 2.81 V
13:18:07.710 22.9C | 2.82 V
13:18:08.936 22.9C | 2.80 V
13:18:10.172 22.9C | 2.81 V
13:18:11.391 22.9C | 2.82 V
13:18:12.612 22.9C | 2.80 V
13:18:13.838 22.9C | 2.82 V
13:18:15.061 22.8C | 2.83 V
13:18:16.292 22.9C | 2.81 V
13:18:17.510 22.9C | 2.81 V
13:18:18.736 22.9C | 2.82 V
13:18:19.981 22.9C | 2.81 V
13:18:21.186 22.9C | 2.81 V
13:18:22.429 22.9C | 2.82 V
13:18:23.645 22.9C | 2.80 V
13:18:24.862 22.9C | 2.82 V
13:18:26.088 22.9C | 2.82 V
13:18:27.312 22.9C | 2.80 V
13:18:28.537 22.9C | 2.82 V
13:18:29.762 22.9C | 2.82 V
13:18:30.987 22.9C | 2.80 V
13:18:32.212 22.9C | 2.81 V
13:18:33.445 22.9C | 2.83 V
13:18:34.664 22.9C | 2.80 V
13:18:35.897 22.9C | 2.81 V
13:18:37.139 22.9C | 2.81 V
13:18:38.337 22.9C | 2.80 V
13:18:39.564 22.9C | 2.81 V
13:18:40.789 22.9C | 2.81 V
13:18:42.014 22.9C | 2.80 V
13:18:43.238 22.9C | 2.81 V
13:18:44.464 22.9C | 2.82 V
13:18:45.687 22.9C | 2.80 V
13:18:46.915 22.9C | 2.80 V
13:18:48.140 22.9C | 2.82 V
13:18:49.364 22.9C | 2.81 V
13:18:50.589 22.9C | 2.81 V
13:18:51.818 22.9C | 2.83 V
13:18:53.039 22.9C | 2.81 V
13:18:54.264 22.9C | 2.81 V
13:18:55.489 22.9C | 2.81 V
13:18:56.713 22.9C | 2.80 V
13:18:57.939 22.9C | 2.80 V
13:18:59.191 22.9C | 2.82 V
13:19:00.402 22.9C | 2.80 V
13:19:01.615 22.9C | 2.80 V
13:19:02.840 22.9C | 2.81 V
13:19:04.065 22.9C | 2.80 V
13:19:05.294 22.9C | 2.80 V
13:19:06.515 22.9C | 2.82 V
13:19:07.745 22.9C | 2.80 V
13:19:08.966 22.9C | 2.80 V
13:19:10.197 22.9C | 2.82 V
13:19:11.415 22.9C | 2.80 V
13:19:12.640 22.9C | 2.80 V
13:19:13.868 22.9C | 2.82 V
13:19:15.090 22.9C | 2.80 V
13:19:16.315 22.9C | 2.80 V
13:19:17.540 22.8C | 2.82 V
13:19:18.771 22.9C | 2.80 V
13:19:20.006 22.9C | 2.80 V
13:19:21.216 22.9C | 2.82 V
13:19:22.450 22.8C | 2.80 V
13:19:23.692 22.9C | 2.80 V
13:19:24.890 22.9C | 2.81 V
13:19:26.116 22.9C | 2.80 V
13:19:27.341 22.9C | 2.80 V
13:19:28.574 22.9C | 2.82 V
13:19:29.792 22.9C | 2.80 V
13:19:31.031 22.9C | 2.80 V
13:19:32.241 22.9C | 2.81 V
13:19:33.466 22.9C | 2.80 V
13:19:34.695 22.9C | 2.79 V
13:19:35.915 22.9C | 2.81 V
13:19:37.150 22.9C | 2.80 V
13:19:38.367 22.9C | 2.80 V
13:19:39.593 22.9C | 2.80 V
13:19:40.818 22.9C | 2.79 V
13:19:42.057 22.9C | 2.79 V
13:19:43.273 22.9C | 2.81 V
13:19:44.491 22.9C | 2.80 V
13:19:45.742 22.9C | 2.79 V
13:19:46.942 22.8C | 2.82 V
13:19:48.166 22.9C | 2.80 V
13:19:49.392 22.9C | 2.80 V
13:19:50.616 22.9C | 2.81 V
13:19:51.842 22.9C | 2.80 V
13:19:53.070 22.9C | 2.80 V
13:19:54.307 22.9C | 2.81 V
13:19:55.516 22.9C | 2.80 V
13:19:56.752 22.9C | 2.79 V
13:19:57.968 22.9C | 2.81 V
13:19:59.194 22.9C | 2.79 V
13:20:00.419 22.9C | 2.79 V
13:20:01.651 22.9C | 2.81 V
13:20:02.871 22.9C | 2.80 V
13:20:04.094 22.9C | 2.80 V
13:20:05.319 22.9C | 2.82 V
13:20:06.544 22.9C | 2.80 V
13:20:07.768 22.9C | 2.80 V
13:20:08.994 22.9C | 2.81 V
13:20:10.235 22.9C | 2.80 V
13:20:11.444 22.9C | 2.79 V
13:20:12.670 22.9C | 2.81 V
13:20:13.904 22.9C | 2.79 V
13:20:15.127 22.9C | 2.80 V
13:20:16.346 22.9C | 2.81 V
13:20:17.577 22.9C | 2.79 V
13:20:18.806 22.9C | 2.79 V
13:20:20.020 22.9C | 2.81 V
13:20:21.245 22.9C | 2.80 V
13:20:22.478 22.9C | 2.80 V
13:20:23.694 22.8C | 2.82 V
13:20:24.920 22.9C | 2.80 V
13:20:26.145 22.9C | 2.79 V
13:20:27.370 22.9C | 2.80 V
13:20:28.594 22.9C | 2.79 V
13:20:29.819 22.9C | 2.79 V
13:20:31.049 22.9C | 2.81 V
13:20:32.270 22.9C | 2.79 V
13:20:33.496 22.9C | 2.79 V
13:20:34.726 22.9C | 2.81 V
13:20:35.964 22.9C | 2.79 V
13:20:37.171 22.9C | 2.79 V
13:20:38.396 22.9C | 2.81 V
13:20:39.621 22.9C | 2.81 V
13:20:40.871 22.9C | 2.79 V
13:20:42.071 22.9C | 2.81 V
13:20:43.305 22.8C | 2.80 V
13:20:44.521 22.9C | 2.79 V
13:20:45.746 22.9C | 2.81 V
13:20:46.972 22.9C | 2.79 V
13:20:48.196 22.9C | 2.79 V
13:20:49.423 22.9C | 2.81 V
13:20:50.668 22.9C | 2.79 V
13:20:51.882 22.9C | 2.79 V
13:20:53.097 22.9C | 2.81 V
13:20:54.322 22.9C | 2.80 V
13:20:55.547 22.9C | 2.79 V
13:20:56.771 22.9C | 2.81 V
13:20:58.004 22.9C | 2.81 V
13:20:59.223 22.9C | 2.79 V
13:21:00.446 22.9C | 2.82 V
13:21:01.672 22.9C | 2.80 V
13:21:02.920 22.9C | 2.79 V
13:21:04.131 22.9C | 2.81 V
13:21:05.350 22.9C | 2.80 V
13:21:06.573 22.9C | 2.79 V
